url	chapt_title	img_path
https://b7m.github.io/Regression_Models/no_toc/index.html	About this Course	resources/chapt_screen_images/index.png
https://b7m.github.io/Regression_Models/no_toc/introduction-xxx.html	1 Introduction (xxx)	resources/chapt_screen_images/introduction-xxx.png
https://b7m.github.io/Regression_Models/no_toc/introduction-to-regression-and-least-squares.html	2 Introduction to regression and least squares	resources/chapt_screen_images/introduction-to-regression-and-least-squares.png
https://b7m.github.io/Regression_Models/no_toc/linear-least-squares.html	3 Linear least squares	resources/chapt_screen_images/linear-least-squares.png
https://b7m.github.io/Regression_Models/no_toc/regression-to-the-mean.html	4 Regression to the Mean	resources/chapt_screen_images/regression-to-the-mean.png
https://b7m.github.io/Regression_Models/no_toc/practical-r-exercises-in-swirl.html	5 Practical R Exercises in swirl	resources/chapt_screen_images/practical-r-exercises-in-swirl.png
https://b7m.github.io/Regression_Models/no_toc/week-1-quiz.html	6 Week 1 Quiz	resources/chapt_screen_images/week-1-quiz.png
https://b7m.github.io/Regression_Models/no_toc/statistical-linear-regression-models.html	7 Statistical linear regression models	resources/chapt_screen_images/statistical-linear-regression-models.png
https://b7m.github.io/Regression_Models/no_toc/residuals.html	8 Residuals	resources/chapt_screen_images/residuals.png
https://b7m.github.io/Regression_Models/no_toc/inference-in-regression.html	9 Inference in regression	resources/chapt_screen_images/inference-in-regression.png
https://b7m.github.io/Regression_Models/no_toc/for-the-project.html	10 For the project	resources/chapt_screen_images/for-the-project.png
https://b7m.github.io/Regression_Models/no_toc/practical-r-exercises-in-swirl-1.html	11 Practical R Exercises in swirl	resources/chapt_screen_images/practical-r-exercises-in-swirl-1.png
https://b7m.github.io/Regression_Models/no_toc/week-2-quiz.html	12 Week 2 Quiz	resources/chapt_screen_images/week-2-quiz.png
https://b7m.github.io/Regression_Models/no_toc/multivariable-regression.html	13 Multivariable regression	resources/chapt_screen_images/multivariable-regression.png
https://b7m.github.io/Regression_Models/no_toc/multivariable-regression-tips-and-tricks.html	14 Multivariable regression tips and tricks	resources/chapt_screen_images/multivariable-regression-tips-and-tricks.png
https://b7m.github.io/Regression_Models/no_toc/adjustment.html	15 Adjustment	resources/chapt_screen_images/adjustment.png
https://b7m.github.io/Regression_Models/no_toc/residuals-again.html	16 Residuals again	resources/chapt_screen_images/residuals-again.png
https://b7m.github.io/Regression_Models/no_toc/model-selection.html	17 Model selection	resources/chapt_screen_images/model-selection.png
https://b7m.github.io/Regression_Models/no_toc/practical-r-exercises-in-swirl-2.html	18 Practical R Exercises in swirl	resources/chapt_screen_images/practical-r-exercises-in-swirl-2.png
https://b7m.github.io/Regression_Models/no_toc/week-3-quiz.html	19 Week 3 Quiz	resources/chapt_screen_images/week-3-quiz.png
https://b7m.github.io/Regression_Models/no_toc/optional-practice-exercise-in-regression-modeling.html	20 (OPTIONAL) Practice exercise in regression modeling	resources/chapt_screen_images/optional-practice-exercise-in-regression-modeling.png
https://b7m.github.io/Regression_Models/no_toc/glm.html	21 GLM	resources/chapt_screen_images/glm.png
https://b7m.github.io/Regression_Models/no_toc/logistic-regression.html	22 Logistic Regression	resources/chapt_screen_images/logistic-regression.png
https://b7m.github.io/Regression_Models/no_toc/poisson-regression.html	23 Poisson Regression	resources/chapt_screen_images/poisson-regression.png
https://b7m.github.io/Regression_Models/no_toc/hodgepodge.html	24 Hodgepodge	resources/chapt_screen_images/hodgepodge.png
https://b7m.github.io/Regression_Models/no_toc/practical-r-exercises-in-swirl-3.html	25 Practical R Exercises in swirl	resources/chapt_screen_images/practical-r-exercises-in-swirl-3.png
https://b7m.github.io/Regression_Models/no_toc/week-4-quiz.html	26 Week 4 Quiz	resources/chapt_screen_images/week-4-quiz.png
https://b7m.github.io/Regression_Models/no_toc/course-project-1.html	27 Course Project	resources/chapt_screen_images/course-project-1.png
https://b7m.github.io/Regression_Models/no_toc/about-the-authors.html	About the Authors	resources/chapt_screen_images/about-the-authors.png
https://b7m.github.io/Regression_Models/no_toc/references.html	28 References	resources/chapt_screen_images/references.png
